Age,Job,Housing,Saving accounts,Checking account,Credit amount,Duration,Purpose,Risk
30,3,own,moderate,little,2249,18,car,good
28,2,own,little,little,1108,12,repairs,bad
54,2,own,little,little,1409,12,car,good
54,2,own,rich,moderate,1318,12,car,good
58,2,rent,little,moderate,15945,54,business,bad
34,2,own,moderate,moderate,2622,18,business,good
36,2,own,little,moderate,2337,36,radio/TV,good
24,2,rent,little,moderate,2323,36,radio/TV,good
35,2,rent,little,moderate,1919,9,furniture/equipment,good
39,3,own,little,moderate,11938,24,vacation/others,bad
32,2,own,little,moderate,6078,12,car,good
35,2,own,quite rich,moderate,1410,14,business,good
31,2,own,moderate,moderate,1449,6,business,good
23,2,rent,little,rich,392,15,education,good
28,1,rent,little,moderate,6260,18,car,good
35,2,own,quite rich,little,1680,12,radio/TV,good
23,2,own,quite rich,little,4281,33,furniture/equipment,bad
36,3,own,quite rich,moderate,2366,12,car,good
25,2,own,little,little,1835,21,radio/TV,bad
63,2,free,little,rich,781,10,car,good
30,2,own,little,little,2121,12,car,good
40,1,own,little,little,701,12,radio/TV,good
30,2,own,little,moderate,639,12,repairs,bad
34,3,own,little,moderate,1860,12,car,good
29,2,own,little,little,3499,12,car,bad
29,2,own,little,little,6887,36,education,bad
66,1,own,quite rich,moderate,766,12,radio/TV,bad
44,1,rent,little,rich,1881,12,radio/TV,good
27,0,own,rich,rich,709,6,car,good
30,3,own,little,moderate,4795,36,radio/TV,good
27,3,own,little,little,3416,27,radio/TV,good
22,2,own,little,little,2462,18,furniture/equipment,bad
30,2,own,moderate,moderate,3566,48,business,good
39,2,own,little,little,860,6,car,good
28,2,own,little,little,5371,36,furniture/equipment,good
24,2,own,little,rich,5848,36,radio/TV,good
29,2,rent,rich,moderate,7758,24,car,good
36,3,rent,moderate,moderate,6967,24,business,good
20,2,rent,little,little,1282,12,furniture/equipment,bad
48,2,own,moderate,little,1288,9,repairs,good
45,1,own,little,little,339,12,education,good
38,2,own,moderate,moderate,3512,24,car,good
70,3,free,little,moderate,7308,10,car,good
33,2,own,little,little,1131,18,furniture/equipment,bad
20,2,own,rich,moderate,1577,11,furniture/equipment,good
31,2,own,little,moderate,1935,24,business,bad
33,2,rent,little,little,950,15,car,bad
34,3,own,little,moderate,2064,24,furniture/equipment,bad
33,2,own,little,moderate,1414,8,radio/TV,good
26,2,own,little,little,3414,21,education,bad
42,2,own,little,little,2577,12,furniture/equipment,good
52,2,own,quite rich,little,338,6,radio/TV,good
65,2,own,little,little,571,21,car,good
30,3,own,little,moderate,4455,36,business,bad
36,2,own,little,moderate,884,18,car,bad
74,3,free,little,moderate,5129,9,car,bad
68,0,free,little,moderate,1175,16,car,good
20,2,own,moderate,little,674,12,radio/TV,bad
33,2,own,little,moderate,3244,18,furniture/equipment,good
34,1,free,moderate,moderate,3844,48,business,bad
36,2,own,little,moderate,3915,27,business,bad
21,2,rent,moderate,moderate,3031,45,radio/TV,bad
34,3,own,little,moderate,1501,9,education,bad
27,2,rent,moderate,moderate,951,12,furniture/equipment,bad
40,3,own,little,moderate,4297,18,furniture/equipment,bad
27,1,own,little,little,1168,12,car,good
21,2,rent,little,little,902,12,education,bad
38,3,free,little,little,10623,30,car,good
26,2,own,little,moderate,1424,12,domestic appliances,good
21,1,own,little,little,6568,24,business,good
50,2,own,little,little,5293,27,business,bad
66,3,own,little,rich,1908,30,business,bad
31,2,own,little,little,3104,18,business,good
23,2,own,little,rich,3913,36,radio/TV,good
24,1,rent,little,little,3021,24,furniture/equipment,good
26,1,own,little,moderate,625,12,radio/TV,good
27,2,own,rich,moderate,10961,48,radio/TV,bad
53,3,free,little,little,7865,12,furniture/equipment,bad
22,2,free,little,little,3149,24,furniture/equipment,good
26,2,own,little,rich,4210,36,radio/TV,bad
25,1,own,little,moderate,866,18,radio/TV,good
30,3,own,little,little,1823,24,radio/TV,bad
61,1,rent,moderate,moderate,2767,21,business,bad
39,2,own,little,little,2522,30,radio/TV,good
24,2,free,little,little,4605,48,car,bad
26,2,own,little,rich,1925,24,furniture/equipment,good
39,1,own,rich,little,666,6,car,good
46,1,own,little,rich,2251,12,furniture/equipment,good
24,2,own,little,moderate,2150,30,car,bad
29,2,free,little,little,2149,12,radio/TV,bad
27,2,own,little,little,1657,12,furniture/equipment,good
55,2,own,little,little,1603,24,radio/TV,good
36,3,free,little,little,5302,18,car,good
37,2,own,little,moderate,802,15,radio/TV,bad
45,3,own,little,little,8978,14,car,bad
28,2,own,little,moderate,3060,48,radio/TV,bad
34,1,own,little,little,11998,30,repairs,bad
37,2,own,moderate,moderate,3878,24,car,good
35,1,own,little,little,10722,47,car,good
26,2,own,little,little,4788,48,car,good
31,3,free,moderate,moderate,7582,48,vacation/others,good
49,2,own,little,moderate,1092,12,radio/TV,good
48,2,own,little,little,1024,24,radio/TV,bad
28,3,rent,little,moderate,9398,36,car,bad
44,3,free,little,little,6419,24,car,good
56,2,free,little,rich,4796,42,car,good
26,2,own,little,moderate,9960,48,furniture/equipment,bad
32,2,own,rich,moderate,2745,21,furniture/equipment,good
42,2,own,little,moderate,3804,36,radio/TV,bad
49,2,own,little,little,1038,10,car,good
33,1,own,moderate,little,727,12,radio/TV,bad
24,2,own,little,moderate,1237,8,furniture/equipment,bad
22,1,rent,little,moderate,276,9,car,good
26,2,own,little,rich,3749,24,furniture/equipment,good
25,1,own,little,moderate,685,12,car,bad
31,2,own,little,little,2746,36,furniture/equipment,bad
38,1,own,little,little,708,12,furniture/equipment,good
27,1,own,little,little,3643,15,furniture/equipment,good
28,3,own,little,moderate,4249,30,car,bad
32,2,own,little,little,1938,24,radio/TV,bad
34,3,free,little,little,2910,24,car,good
28,2,own,rich,little,2659,18,furniture/equipment,good
39,1,own,little,little,3398,8,car,good
31,2,own,little,rich,4473,36,radio/TV,good
28,2,own,little,moderate,1068,6,radio/TV,good
75,3,free,little,little,6615,24,car,good
24,3,own,moderate,moderate,7408,60,car,bad
23,2,rent,little,little,4110,24,furniture/equipment,bad
44,3,rent,little,little,3384,6,furniture/equipment,bad
23,1,own,little,moderate,2101,13,radio/TV,good
28,2,own,little,little,4169,24,furniture/equipment,good
31,1,own,little,moderate,1521,10,furniture/equipment,good
24,2,free,little,moderate,5743,24,education,good
26,1,rent,little,little,3599,21,furniture/equipment,good
25,2,rent,quite rich,moderate,3213,18,radio/TV,good
33,3,own,little,moderate,4439,18,business,good
37,1,own,little,rich,3949,10,car,good
23,2,own,little,moderate,882,13,radio/TV,good
23,0,rent,quite rich,moderate,3758,24,radio/TV,good
32,2,free,rich,moderate,1136,9,education,bad
29,2,own,little,moderate,959,9,furniture/equipment,bad
28,2,rent,little,little,6199,12,radio/TV,bad
23,1,own,little,moderate,1246,24,car,bad
23,2,rent,little,little,2406,30,furniture/equipment,bad
36,2,own,little,rich,2247,12,car,good
25,0,own,little,little,2473,18,furniture/equipment,bad
22,2,rent,little,little,3650,18,furniture/equipment,good
42,2,own,little,little,3446,36,furniture/equipment,bad
40,2,rent,little,moderate,3001,18,furniture/equipment,good
60,3,free,moderate,moderate,14782,60,vacation/others,bad
37,2,rent,little,little,7685,48,business,bad
57,3,free,little,moderate,14318,36,car,bad
38,3,free,little,moderate,12976,18,car,bad
26,2,own,little,rich,1330,12,car,good
40,3,own,little,moderate,7374,18,furniture/equipment,good
27,2,own,quite rich,moderate,2326,15,business,good
19,1,rent,rich,moderate,983,12,furniture/equipment,good
39,3,free,little,little,3249,36,car,good
31,2,own,little,little,1957,6,radio/TV,good
32,2,rent,moderate,moderate,11760,39,education,good
55,3,free,little,little,2578,12,furniture/equipment,good
46,2,own,little,little,2348,36,furniture/equipment,good
46,2,rent,little,moderate,1223,12,car,bad
22,2,own,little,moderate,2039,24,radio/TV,bad
27,2,own,little,little,1053,15,radio/TV,good
28,2,own,quite rich,rich,939,12,car,bad
20,2,own,little,moderate,1967,24,radio/TV,good
33,1,own,little,little,2579,12,car,bad
47,1,own,little,moderate,958,12,car,good
21,2,rent,little,moderate,2779,18,car,good
55,0,free,little,little,1190,18,repairs,bad
29,3,own,little,moderate,11328,24,vacation/others,bad
36,3,free,little,little,1872,6,furniture/equipment,good
25,2,own,little,little,2136,9,furniture/equipment,good
65,0,own,little,little,3394,42,repairs,good
26,0,own,little,rich,609,12,business,bad
30,2,own,little,little,1620,12,furniture/equipment,good
29,2,own,little,moderate,2629,20,vacation/others,good
30,3,own,little,moderate,5096,48,furniture/equipment,bad
34,2,own,little,little,1842,36,car,bad
35,2,own,little,moderate,2576,7,radio/TV,good
61,2,own,rich,moderate,1512,15,repairs,bad
31,2,own,little,little,4817,24,car,bad
36,2,rent,little,little,3905,11,car,good
35,2,free,little,little,3386,12,car,bad
27,2,own,little,little,343,6,domestic appliances,good
37,2,own,little,little,3620,36,furniture/equipment,good
36,2,own,little,little,1721,15,car,good
34,3,rent,little,moderate,3017,12,furniture/equipment,good
63,2,own,little,little,2924,24,car,good
29,1,rent,little,little,1659,24,radio/TV,bad
22,2,rent,moderate,moderate,3092,24,radio/TV,bad
23,2,own,little,little,448,6,education,bad
28,1,own,little,little,654,9,car,bad
33,2,own,little,moderate,1245,18,radio/TV,bad
26,2,rent,little,little,3114,18,furniture/equipment,bad
25,2,own,little,rich,5152,24,radio/TV,good
39,1,own,moderate,moderate,1037,12,business,good
44,2,own,little,little,1478,15,furniture/equipment,good
23,1,own,little,moderate,3573,12,radio/TV,good
26,2,own,little,moderate,1201,24,car,good
57,2,rent,rich,little,3622,30,furniture/equipment,good
47,3,own,little,moderate,1209,6,car,bad
42,3,free,little,moderate,8318,27,business,bad
39,1,rent,little,little,2122,12,car,good
29,3,rent,moderate,moderate,9034,36,furniture/equipment,bad
32,1,own,little,moderate,1301,18,radio/TV,good
28,2,own,moderate,rich,1323,6,car,good
27,2,own,little,little,3123,24,car,bad
42,2,free,little,little,5493,36,car,good
49,2,own,moderate,rich,1126,9,radio/TV,good
38,2,own,moderate,moderate,1216,24,radio/TV,bad
24,2,rent,little,little,1207,24,car,bad
36,2,own,quite rich,rich,2360,15,car,good
34,3,own,moderate,moderate,6850,15,car,bad
26,2,own,little,little,759,12,car,bad
26,2,rent,little,rich,2687,15,business,good
20,2,rent,little,moderate,585,12,radio/TV,good
37,2,own,little,little,609,6,car,good
40,1,own,little,little,1361,6,car,good
43,2,own,moderate,little,1203,6,car,good
24,2,own,little,little,3190,18,radio/TV,bad
53,2,free,little,little,7119,48,furniture/equipment,bad
26,1,own,little,moderate,1113,18,radio/TV,good
30,2,own,little,moderate,7966,26,car,good
31,2,rent,little,little,2302,36,radio/TV,bad
41,1,own,little,little,662,6,car,good
32,2,own,little,moderate,2273,36,education,good
28,2,rent,moderate,moderate,2631,15,car,bad
33,2,rent,little,rich,2319,21,education,bad
37,2,own,little,moderate,3612,18,furniture/equipment,good
42,3,free,little,little,7763,48,car,bad
45,1,own,little,rich,3049,18,furniture/equipment,good
23,2,rent,little,moderate,1534,12,radio/TV,bad
34,1,own,little,rich,2864,18,furniture/equipment,bad
43,2,free,little,little,1333,24,car,bad
24,1,own,little,little,626,12,radio/TV,bad
34,2,own,little,little,6999,48,radio/TV,bad
27,2,own,moderate,moderate,1995,12,car,good
67,3,own,little,moderate,1199,9,education,good
22,2,own,little,moderate,1331,12,radio/TV,bad
28,2,own,moderate,moderate,2278,18,car,bad
27,2,own,little,little,3552,24,furniture/equipment,bad
31,1,own,little,moderate,1928,18,furniture/equipment,bad
24,1,rent,little,little,1546,24,radio/TV,bad
29,2,own,little,rich,683,6,radio/TV,good
23,2,rent,moderate,moderate,1553,24,radio/TV,good
36,2,own,little,little,1372,12,car,bad
31,2,own,little,little,6758,48,radio/TV,bad
23,1,rent,little,little,3234,24,furniture/equipment,bad
22,1,own,little,little,806,15,business,good
27,1,own,little,moderate,1082,9,radio/TV,good
27,2,own,little,moderate,2930,12,radio/TV,good
27,2,own,little,moderate,2820,36,car,bad
30,2,own,little,moderate,1056,18,car,bad
49,1,own,little,moderate,3124,12,car,good
33,1,rent,little,moderate,2384,36,repairs,bad
20,2,rent,little,little,2039,18,furniture/equipment,bad
36,2,rent,little,little,2799,9,car,good
21,1,own,little,little,1289,12,furniture/equipment,good
47,1,own,little,little,1217,18,domestic appliances,bad
60,2,own,little,little,2246,12,furniture/equipment,bad
58,1,own,little,little,385,12,radio/TV,good
20,1,rent,little,moderate,2718,24,car,bad
32,1,own,moderate,moderate,931,6,car,bad
23,2,rent,little,little,1442,24,car,bad
36,1,own,little,moderate,4241,24,business,bad
45,2,own,little,moderate,2329,7,radio/TV,good
30,2,own,little,moderate,918,9,furniture/equipment,bad
34,1,free,little,moderate,1837,24,education,bad
23,2,own,little,rich,1275,10,furniture/equipment,good
22,2,own,quite rich,little,2828,24,furniture/equipment,good
50,2,free,moderate,moderate,2671,36,radio/TV,bad
22,2,own,moderate,little,741,12,domestic appliances,bad
48,1,free,moderate,rich,1240,10,car,bad
29,2,own,rich,little,3357,21,radio/TV,good
22,2,rent,little,little,3632,24,car,good
37,2,rent,little,little,3676,6,car,good
21,2,rent,moderate,moderate,3441,30,furniture/equipment,bad
27,2,own,little,moderate,3652,21,business,good
22,2,rent,little,little,1858,12,furniture/equipment,good
65,2,free,little,little,2600,18,radio/TV,bad
41,2,own,little,rich,2116,6,furniture/equipment,good
29,2,own,moderate,moderate,1437,9,car,bad
28,2,own,little,little,3660,24,radio/TV,good
44,2,own,little,little,1553,18,furniture/equipment,bad
25,1,own,little,moderate,1355,24,car,bad
26,2,own,little,little,4370,42,radio/TV,bad
27,0,own,little,little,750,18,education,bad
38,1,own,little,moderate,1308,15,repairs,good
32,3,own,little,little,1880,18,radio/TV,good
32,2,own,little,little,4583,30,furniture/equipment,good
38,2,free,little,rich,947,24,car,bad
40,1,rent,little,little,684,12,education,bad
50,3,free,little,little,7476,48,education,good
37,1,own,little,moderate,1922,12,furniture/equipment,bad
45,2,own,little,little,2303,24,car,bad
42,3,own,moderate,moderate,8086,36,car,bad
22,2,free,little,little,3973,14,car,good
41,1,own,little,moderate,888,12,car,bad
28,2,own,little,moderate,4221,30,business,good
41,2,own,little,moderate,6361,18,furniture/equipment,good
23,2,rent,little,rich,1297,12,radio/TV,good
35,3,own,little,moderate,1050,6,furniture/equipment,good
50,1,own,little,rich,1047,6,education,good
34,2,own,rich,moderate,3496,30,furniture/equipment,good
43,2,rent,little,little,4843,12,car,bad
47,2,own,little,rich,3017,30,radio/TV,good
24,2,own,moderate,moderate,5595,72,radio/TV,bad
64,1,rent,little,little,2384,24,radio/TV,good
31,1,own,moderate,moderate,9857,36,business,good
30,2,free,moderate,moderate,2862,36,car,good
31,2,own,rich,little,3651,12,car,good
25,2,own,little,little,975,15,furniture/equipment,good
25,1,own,moderate,moderate,2631,15,repairs,good
29,2,own,moderate,moderate,2896,24,radio/TV,good
29,2,own,little,moderate,1103,12,radio/TV,good
40,3,rent,little,rich,1905,15,education,good
46,2,free,little,little,6331,48,car,bad
47,2,free,moderate,rich,1377,24,radio/TV,good
41,2,own,moderate,moderate,2503,30,business,good
32,2,own,little,moderate,2528,27,business,good
24,2,own,moderate,moderate,6560,48,car,bad
25,2,rent,little,moderate,2969,12,furniture/equipment,bad
25,2,own,little,moderate,1206,9,radio/TV,good
37,1,own,little,moderate,2118,9,radio/TV,good
35,2,free,little,little,1198,6,education,bad
25,1,own,little,little,1138,9,radio/TV,good
27,3,own,little,moderate,14027,60,car,bad
31,2,own,moderate,moderate,6148,20,car,good
34,3,own,little,rich,1337,9,radio/TV,bad
24,2,rent,rich,moderate,433,6,education,bad
24,1,own,little,little,1228,12,car,bad
66,1,own,quite rich,moderate,790,9,radio/TV,good
25,2,rent,little,little,1882,18,radio/TV,bad
59,2,rent,little,moderate,6416,48,business,bad
36,2,own,rich,rich,1275,24,business,good
33,2,own,little,moderate,6403,24,radio/TV,good
21,1,rent,little,little,1987,24,radio/TV,bad
44,1,own,little,moderate,760,8,radio/TV,good
23,3,rent,little,moderate,11560,24,car,bad
35,1,own,moderate,little,4380,18,car,good
26,1,rent,moderate,moderate,4280,30,business,bad
32,2,own,moderate,little,2325,24,car,good
23,1,own,little,moderate,1048,10,radio/TV,good
22,2,own,quite rich,little,2483,24,furniture/equipment,good
28,1,own,little,little,1797,13,business,good
23,2,rent,little,little,2511,15,car,good
37,1,own,little,little,1274,12,car,bad
49,2,own,little,little,428,6,furniture/equipment,good
23,1,own,little,little,976,18,car,bad
23,1,rent,moderate,moderate,841,12,business,good
74,0,own,little,rich,1299,6,car,good
35,2,own,little,little,691,12,car,bad
24,2,rent,little,little,2124,18,furniture/equipment,bad
24,1,own,little,little,2214,12,radio/TV,good
40,1,own,little,moderate,1155,12,radio/TV,good
31,1,own,little,little,3108,30,furniture/equipment,bad
28,2,rent,little,moderate,3617,12,furniture/equipment,good
25,3,own,little,little,8065,36,education,bad
66,0,free,quite rich,rich,1480,12,car,good
25,2,own,little,little,3509,18,radio/TV,good
67,2,own,little,moderate,3872,18,repairs,good
25,2,own,little,moderate,4933,39,radio/TV,bad
31,1,own,little,moderate,1410,12,education,good
23,1,own,moderate,moderate,836,12,car,bad
35,1,own,rich,moderate,1941,18,business,good
50,2,free,little,moderate,6224,48,education,bad
27,2,own,little,little,5998,40,education,bad
39,2,own,little,moderate,1188,21,business,bad
51,2,free,little,rich,2892,24,furniture/equipment,good
48,1,rent,little,moderate,1795,18,radio/TV,good
24,2,own,little,little,4272,20,furniture/equipment,good
24,2,own,little,little,9271,36,car,bad
26,1,own,little,moderate,590,6,radio/TV,good
55,3,free,little,moderate,9283,42,car,good
26,0,rent,little,moderate,1778,15,car,bad
26,2,own,little,moderate,907,8,business,good
28,1,own,little,moderate,484,6,radio/TV,good
24,2,own,little,little,9629,36,car,bad
54,2,own,little,little,3051,48,domestic appliances,bad
46,2,free,little,little,3931,48,car,bad
54,2,rent,little,moderate,7432,36,car,good
43,3,own,little,little,15857,36,vacation/others,good
26,2,own,little,little,1345,18,radio/TV,bad
24,2,own,little,rich,3016,12,radio/TV,good
41,2,own,little,little,2712,36,furniture/equipment,bad
47,1,own,little,little,731,8,car,good
30,2,own,little,little,1602,21,car,good
33,2,rent,little,little,3966,18,car,bad
23,2,rent,little,little,1216,18,car,bad
29,2,rent,little,little,11816,45,business,bad
25,1,own,little,rich,2327,15,radio/TV,bad
48,2,own,little,little,1082,12,car,bad
63,2,own,little,little,2957,24,car,good
29,2,own,little,little,5179,36,furniture/equipment,bad
59,2,own,little,little,1364,9,radio/TV,good
57,1,own,little,little,709,12,radio/TV,bad
33,2,rent,little,little,2235,20,car,bad
32,1,free,little,little,1442,18,car,bad
29,2,own,little,little,3959,15,car,bad
35,2,own,little,little,2439,24,radio/TV,bad
27,2,own,little,little,2389,18,radio/TV,good
24,2,rent,little,little,652,12,furniture/equipment,good
46,2,own,little,rich,1343,6,car,good
26,2,own,moderate,little,1382,24,business,good
29,1,own,little,little,3590,12,furniture/equipment,good
40,2,own,rich,moderate,1322,11,car,good
36,3,free,little,little,1940,18,radio/TV,good
27,3,free,little,little,1422,9,car,bad
43,2,own,little,moderate,4057,24,furniture/equipment,bad
53,2,own,little,little,795,12,education,bad
23,2,own,little,moderate,15672,48,business,bad
43,3,own,little,little,2442,27,business,good
38,1,own,little,little,2171,12,car,good
34,2,own,little,moderate,5800,36,car,good
28,3,rent,little,little,2606,21,radio/TV,good
42,2,own,little,little,4153,18,furniture/equipment,bad
43,2,rent,little,little,2625,16,car,bad
20,3,rent,little,little,1107,12,radio/TV,good
25,1,own,little,moderate,4736,24,furniture/equipment,bad
31,2,rent,little,little,3161,24,business,bad
32,3,own,little,moderate,18424,48,vacation/others,bad
68,3,own,little,little,14896,6,car,bad
33,2,own,moderate,little,2359,24,furniture/equipment,bad
39,3,rent,little,little,3345,24,furniture/equipment,bad
22,2,rent,little,little,1366,9,radio/TV,bad
30,2,rent,little,moderate,2002,12,car,good
55,2,own,little,little,6872,24,furniture/equipment,bad
46,2,own,little,little,697,12,car,bad
21,2,rent,little,little,1049,18,furniture/equipment,good
39,2,free,little,little,10297,48,car,bad
43,1,own,little,little,1344,12,car,good
24,1,own,little,little,1747,24,furniture/equipment,good
22,2,own,little,moderate,1670,9,radio/TV,bad
23,2,own,little,little,1498,12,radio/TV,good
30,3,own,moderate,moderate,1919,30,radio/TV,bad
28,1,own,little,rich,745,9,radio/TV,bad
30,3,rent,little,moderate,2063,6,radio/TV,good
42,2,free,little,moderate,6288,60,education,bad
46,2,rent,little,little,1845,15,furniture/equipment,good
30,2,own,quite rich,moderate,8358,48,car,good
30,2,free,quite rich,little,3349,24,furniture/equipment,bad
40,0,own,little,moderate,3590,18,business,good
24,2,own,little,little,2145,36,business,bad
28,2,rent,quite rich,moderate,4113,24,car,bad
29,2,own,little,little,1893,12,car,good
57,3,rent,rich,little,1231,24,radio/TV,good
37,1,own,little,moderate,1154,9,radio/TV,good
45,1,own,little,little,4006,28,car,bad
30,2,free,moderate,moderate,3069,24,furniture/equipment,good
47,2,own,little,moderate,2353,21,car,good
22,1,own,little,moderate,454,6,repairs,good
23,1,own,quite rich,moderate,2520,27,radio/TV,bad
40,1,own,little,little,3939,11,car,good
22,2,own,moderate,moderate,1514,15,repairs,good
29,0,rent,little,little,1193,24,car,bad
36,2,rent,little,little,7297,60,business,bad
57,1,own,quite rich,rich,1258,24,radio/TV,good
64,2,own,little,moderate,753,6,radio/TV,good
25,2,rent,moderate,moderate,1264,15,car,bad
49,2,own,little,moderate,8386,30,furniture/equipment,bad
28,3,own,moderate,rich,2923,21,car,good
26,2,own,little,little,8229,36,car,bad
25,2,rent,little,little,1433,15,furniture/equipment,good
33,2,own,little,rich,6289,42,business,good
29,3,free,little,little,6579,24,car,good
48,1,own,little,moderate,1743,24,radio/TV,good
30,3,own,little,little,3959,36,furniture/equipment,good
40,3,own,little,little,3857,30,car,good
23,2,free,little,little,1845,45,radio/TV,bad
27,2,own,moderate,moderate,4576,45,car,good
